,Year-Rank,Movie,Year,Imdb,Metascore,Votes,Genre,Runtime,Cert,Gross,Director,Stars,n_imdb
101,28,A Midsummer Night's Sex Comedy,1982,6.7,51,16709.0,"
Comedy            ",88 min,-,9077269.0,Woody Allen,"['Woody Allen', 'Mia Farrow', 'José Ferrer', 'Julie Hagerty']",67.0
102,29,The Entity,1982,6.6,35,12784.0,"
Biography, Drama, Horror            ",125 min,-,13277558.0,Sidney J. Furie,"['Barbara Hershey', 'Ron Silver', 'David Labiosa', 'George Coe']",66.0
103,30,Annie,1982,6.5,39,35144.0,"
Comedy, Drama, Family            ",126 min,-,57059003.0,John Huston,"['Aileen Quinn', 'Albert Finney', 'Carol Burnett', 'Ann Reinking']",65.0
104,31,Night Shift,1982,6.5,62,12355.0,"
Comedy            ",106 min,-,23600000.0,Ron Howard,"['Henry Winkler', 'Michael Keaton', 'Shelley Long', 'Gina Hecht']",65.0
105,32,The Beastmaster,1982,6.2,18,17675.0,"
Action, Adventure, Fantasy            ",118 min,-,14056528.0,Don Coscarelli,"['Marc Singer', 'Tanya Roberts', 'Rip Torn', 'John Amos']",62.0
106,33,Cat People,1982,6.1,62,16640.0,"
Fantasy, Horror, Thriller            ",118 min,-,7000000.0,Paul Schrader,"['Nastassja Kinski', 'Malcolm McDowell', 'John Heard', ""Annette O'Toole""]",61.0
107,34,Airplane II: The Sequel,1982,6.1,48,43214.0,"
Comedy, Sci-Fi            ",85 min,-,27150534.0,Ken Finkleman,"['Robert Hays', 'Julie Hagerty', 'Lloyd Bridges', 'Raymond Burr']",61.0
108,35,Death Wish II,1982,6.0,11,12425.0,"
Action, Crime, Drama            ",89 min,-,16100000.0,Michael Winner,"['Charles Bronson', 'Jill Ireland', 'Vincent Gardenia', 'J.D. Cannon']",60.0
109,36,Firefox,1982,5.9,44,22441.0,"
Action, Adventure, Thriller            ",136 min,-,46708276.0,Clint Eastwood,"['Clint Eastwood', 'Freddie Jones', 'David Huffman', 'Warren Clarke']",59.0
110,37,The Toy,1982,5.8,16,10079.0,"
Comedy            ",102 min,-,47118057.0,Richard Donner,"['Richard Pryor', 'Jackie Gleason', 'Ned Beatty', 'Scott Schwartz']",58.0
